"kaffebar_id","aar","maaned","maaned_nr","varme_dager","iskaffe_salg"
4,2021,6,6,15,266
4,2021,7,7,24,332
4,2021,8,8,16,294
4,2021,9,9,11,284
4,2021,10,10,5,211
4,2021,11,11,0,182
4,2021,12,12,4,246
4,2022,1,13,0,205
4,2022,2,14,3,231
4,2022,3,15,2,208
4,2022,4,16,4,223
4,2022,5,17,5,209
4,2022,6,18,12,275
4,2022,7,19,18,323
4,2022,8,20,17,341
4,2022,9,21,10,260
4,2022,10,22,5,224
4,2022,11,23,0,208
4,2022,12,24,2,223
4,2023,1,25,0,188
4,2023,2,26,3,214
4,2023,3,27,0,207
4,2023,4,28,5,219
4,2023,5,29,10,241
4,2023,6,30,16,301
4,2023,7,31,20,309
4,2023,8,32,21,301
4,2023,9,33,9,255
4,2023,10,34,5,205
4,2023,11,35,2,210
4,2023,12,36,2,229
5,2021,1,1,0,179
5,2021,2,2,3,176
5,2021,3,3,1,186
5,2021,4,4,0,175
5,2021,5,5,6,212
5,2021,6,6,10,201
5,2021,7,7,19,293
5,2021,8,8,16,299
5,2021,9,9,8,201
5,2021,10,10,4,206
5,2021,11,11,0,139
5,2021,12,12,0,178
5,2022,1,13,0,169
5,2022,2,14,0,185
5,2022,3,15,0,180
5,2022,4,16,2,153
5,2022,5,17,5,186
5,2022,6,18,17,255
5,2022,7,19,22,294
5,2022,8,20,17,275
5,2022,9,21,8,207
5,2022,10,22,3,206
5,2022,11,23,0,137
5,2022,12,24,0,216
5,2023,1,25,0,165
5,2023,2,26,1,192
5,2023,3,27,0,167
5,2023,4,28,3,176
5,2023,5,29,6,207
5,2023,6,30,17,288
5,2023,7,31,20,276
5,2023,8,32,15,248
5,2023,9,33,9,226
5,2023,10,34,0,162
5,2023,11,35,1,158
5,2023,12,36,0,216
6,2021,1,1,0,69
6,2021,2,2,0,63
6,2021,3,3,0,88
6,2021,4,4,0,92
6,2021,5,5,0,95
6,2021,6,6,8,151
6,2021,7,7,11,146
6,2021,8,8,11,178
6,2021,9,9,3,115
6,2021,10,10,0,96
6,2021,11,11,0,104
6,2021,12,12,0,140
6,2022,1,13,0,96
6,2022,2,14,0,112
6,2022,3,15,0,79
6,2022,4,16,0,97
6,2022,5,17,1,106
6,2022,6,18,6,180
6,2022,7,19,11,179
6,2022,8,20,10,183
6,2022,9,21,0,104
6,2022,10,22,0,87
6,2022,11,23,0,86
6,2022,12,24,0,134
6,2023,1,25,0,95
6,2023,2,26,0,103
6,2023,3,27,0,141
6,2023,4,28,0,95
6,2023,5,29,0,93
6,2023,6,30,10,169
6,2023,7,31,11,158
6,2023,8,32,9,162
6,2023,9,33,3,117
6,2023,10,34,0,78
6,2023,11,35,0,115
6,2023,12,36,0,136
7,2021,1,1,0,166
7,2021,2,2,0,207
7,2021,3,3,0,166
7,2021,4,4,0,183
7,2021,5,5,2,179
7,2021,6,6,8,243
7,2021,7,7,17,281
7,2021,8,8,14,282
7,2021,9,9,5,193
7,2021,10,10,0,215
7,2021,11,11,0,182
7,2021,12,12,0,194
7,2022,1,13,0,175
7,2022,2,14,0,176
7,2022,3,15,0,133
7,2022,4,16,1,141
7,2022,5,17,3,181
7,2022,6,18,10,218
7,2022,7,19,16,272
7,2022,8,20,15,267
7,2022,9,21,4,201
7,2022,10,22,2,178
7,2022,11,23,0,153
7,2022,12,24,0,222
7,2023,1,25,0,194
7,2023,2,26,0,188
7,2023,3,27,0,171
7,2023,4,28,0,162
7,2023,5,29,4,202
7,2023,6,30,12,238
7,2023,7,31,16,247
7,2023,8,32,15,278
7,2023,9,33,4,199
7,2023,10,34,0,183
7,2023,11,35,0,167
7,2023,12,36,0,237
8,2021,1,1,0,147
8,2021,2,2,0,150
8,2021,3,3,0,138
8,2021,4,4,0,151
8,2021,5,5,2,157
8,2021,6,6,9,228
8,2021,7,7,13,252
8,2021,8,8,15,258
8,2021,9,9,2,142
8,2021,10,10,0,155
8,2021,11,11,0,157
8,2021,12,12,0,183
8,2022,1,13,0,177
8,2022,2,14,0,195
8,2022,3,15,0,139
8,2022,4,16,0,146
8,2022,5,17,5,195
8,2022,6,18,7,194
8,2022,7,19,15,248
8,2022,8,20,11,189
8,2022,9,21,8,219
8,2022,10,22,0,164
8,2022,11,23,0,156
8,2022,12,24,0,184
8,2023,1,25,0,171
8,2023,2,26,0,185
8,2023,3,27,0,172
8,2023,4,28,2,168
8,2023,5,29,3,186
8,2023,6,30,8,214
8,2023,7,31,13,252
8,2023,8,32,11,233
8,2023,9,33,5,165
8,2023,10,34,0,149
8,2023,11,35,0,183
8,2023,12,36,0,183
9,2021,1,1,0,209
9,2021,2,2,0,185
9,2021,3,3,0,200
9,2021,4,4,3,226
9,2021,5,5,8,234
9,2021,6,6,19,339
9,2021,7,7,18,276
9,2021,8,8,19,321
9,2021,9,9,13,280
9,2021,10,10,1,222
9,2021,11,11,0,211
9,2021,12,12,0,217
9,2022,1,13,1,233
9,2022,2,14,2,213
9,2022,3,15,1,167
9,2022,4,16,5,207
9,2022,5,17,7,248
9,2022,6,18,12,286
9,2022,7,19,21,324
9,2022,8,20,19,288
9,2022,9,21,8,234
9,2022,10,22,4,253
9,2022,11,23,1,181
9,2022,12,24,4,262
9,2023,1,25,1,213
9,2023,2,26,0,217
9,2023,3,27,2,237
9,2023,4,28,4,203
9,2023,5,29,10,253
9,2023,6,30,13,266
9,2023,7,31,22,315
9,2023,8,32,16,294
9,2023,9,33,8,248
9,2023,10,34,1,175
9,2023,11,35,2,200
9,2023,12,36,0,248
10,2021,1,1,0,179
10,2021,2,2,0,168
10,2021,3,3,0,193
10,2021,4,4,0,183
10,2021,5,5,8,253
10,2021,6,6,17,286
10,2021,7,7,21,261
10,2021,8,8,18,297
10,2021,9,9,12,288
10,2021,10,10,0,189
10,2021,11,11,0,169
10,2021,12,12,0,230
10,2022,1,13,0,194
10,2022,2,14,0,221
10,2022,3,15,0,171
10,2022,4,16,0,165
10,2022,5,17,6,205
10,2022,6,18,14,256
10,2022,7,19,17,289
10,2022,8,20,15,268
10,2022,9,21,9,241
10,2022,10,22,0,184
10,2022,11,23,0,191
10,2022,12,24,0,216
10,2023,1,25,0,182
10,2023,2,26,0,199
10,2023,3,27,4,185
10,2023,4,28,5,166
10,2023,5,29,5,222
10,2023,6,30,18,291
10,2023,7,31,15,242
10,2023,8,32,16,275
10,2023,9,33,10,193
10,2023,10,34,6,197
10,2023,11,35,0,174
10,2023,12,36,1,211
11,2021,1,1,2,180
11,2021,2,2,2,188
11,2021,3,3,1,183
11,2021,4,4,2,185
11,2021,5,5,8,229
11,2021,6,6,18,277
11,2021,7,7,23,288
11,2021,8,8,21,340
11,2021,9,9,11,256
11,2021,10,10,3,198
11,2021,11,11,2,167
11,2021,12,12,0,214
11,2022,1,13,0,184
11,2022,2,14,2,216
11,2022,3,15,4,185
11,2022,4,16,3,195
11,2022,5,17,6,167
11,2022,6,18,13,251
11,2022,7,19,22,290
11,2022,8,20,20,311
11,2022,9,21,9,239
11,2022,10,22,3,218
11,2022,11,23,4,204
11,2022,12,24,0,210
11,2023,1,25,0,178
11,2023,2,26,2,177
11,2023,3,27,5,212
11,2023,4,28,3,182
11,2023,5,29,11,265
11,2023,6,30,13,239
11,2023,7,31,19,290
11,2023,8,32,18,322
11,2023,9,33,8,214
11,2023,10,34,3,187
11,2023,11,35,4,218
11,2023,12,36,4,243
12,2021,1,1,0,180
12,2021,2,2,0,178
12,2021,3,3,0,157
12,2021,4,4,0,162
12,2021,5,5,4,170
12,2021,6,6,11,225
12,2021,7,7,17,251
12,2021,8,8,10,233
12,2021,9,9,8,211
12,2021,10,10,0,176
12,2021,11,11,0,156
12,2021,12,12,0,198
12,2022,1,13,0,176
12,2022,2,14,0,194
12,2022,3,15,0,190
12,2022,4,16,0,166
12,2022,5,17,6,236
12,2022,6,18,12,222
12,2022,7,19,17,264
12,2022,8,20,13,276
12,2022,9,21,3,197
12,2022,10,22,0,190
12,2022,11,23,0,187
12,2022,12,24,0,188
12,2023,1,25,0,169
12,2023,2,26,0,168
12,2023,3,27,0,155
12,2023,4,28,0,156
12,2023,5,29,3,187
12,2023,6,30,12,270
12,2023,7,31,15,249
12,2023,8,32,11,250
12,2023,9,33,8,199
12,2023,10,34,0,183
12,2023,11,35,0,170
12,2023,12,36,0,184
13,2021,1,1,0,187
13,2021,2,2,0,167
13,2021,3,3,0,204
13,2021,4,4,4,234
13,2021,5,5,5,214
13,2021,6,6,11,226
13,2021,7,7,19,276
13,2021,8,8,15,291
13,2021,9,9,9,251
13,2021,10,10,0,183
13,2021,11,11,0,155
13,2021,12,12,0,239
13,2022,1,13,0,183
13,2022,2,14,0,201
13,2022,3,15,0,196
13,2022,4,16,1,184
13,2022,5,17,5,244
13,2022,6,18,8,245
13,2022,7,19,16,288
13,2022,8,20,18,305
13,2022,9,21,10,253
13,2022,10,22,3,194
13,2022,11,23,1,170
13,2022,12,24,0,233
13,2023,1,25,0,171
13,2023,2,26,0,186
13,2023,3,27,0,202
13,2023,4,28,0,197
13,2023,5,29,4,184
13,2023,6,30,18,277
13,2023,7,31,17,277
13,2023,8,32,18,296
13,2023,9,33,10,196
13,2023,10,34,0,191
13,2023,11,35,0,195
13,2023,12,36,0,220
14,2021,1,1,2,201
14,2021,2,2,0,162
14,2021,3,3,1,200
14,2021,4,4,4,223
14,2021,5,5,6,220
14,2021,6,6,17,289
14,2021,7,7,21,311
14,2021,8,8,20,309
14,2021,9,9,9,221
14,2021,10,10,3,211
14,2021,11,11,1,207
14,2021,12,12,2,220
14,2022,1,13,2,209
14,2022,2,14,0,200
14,2022,3,15,0,177
14,2022,4,16,6,184
14,2022,5,17,9,220
14,2022,6,18,14,259
14,2022,7,19,26,346
14,2022,8,20,18,273
14,2022,9,21,6,237
14,2022,10,22,2,202
14,2022,11,23,0,217
14,2022,12,24,2,237
14,2023,1,25,2,194
14,2023,2,26,0,197
14,2023,3,27,6,235
14,2023,4,28,1,189
14,2023,5,29,6,198
14,2023,6,30,14,269
14,2023,7,31,17,295
14,2023,8,32,18,299
14,2023,9,33,13,234
14,2023,10,34,2,193
14,2023,11,35,2,201
14,2023,12,36,4,255
15,2021,1,1,0,86
15,2021,2,2,0,124
15,2021,3,3,0,104
15,2021,4,4,0,83
15,2021,5,5,0,98
15,2021,6,6,6,147
15,2021,7,7,7,160
15,2021,8,8,10,194
15,2021,9,9,1,117
15,2021,10,10,0,113
15,2021,11,11,0,119
15,2021,12,12,0,122
15,2022,1,13,0,116
15,2022,2,14,0,106
15,2022,3,15,0,87
15,2022,4,16,0,91
15,2022,5,17,0,95
15,2022,6,18,5,120
15,2022,7,19,9,188
15,2022,8,20,8,163
15,2022,9,21,2,129
15,2022,10,22,0,120
15,2022,11,23,0,122
15,2022,12,24,0,142
15,2023,1,25,0,122
15,2023,2,26,0,122
15,2023,3,27,0,127
15,2023,4,28,0,89
15,2023,5,29,0,97
15,2023,6,30,7,142
15,2023,7,31,10,162
15,2023,8,32,9,166
15,2023,9,33,0,106
15,2023,10,34,0,60
15,2023,11,35,0,76
15,2023,12,36,0,165
16,2021,1,1,4,270
16,2021,2,2,6,312
16,2021,3,3,6,280
16,2021,4,4,7,289
16,2021,5,5,12,357
16,2021,6,6,22,370
16,2021,7,7,24,398
16,2021,8,8,19,374
16,2021,9,9,13,323
16,2021,10,10,6,298
16,2021,11,11,7,280
16,2021,12,12,5,290
16,2022,1,13,4,294
16,2022,2,14,5,286
16,2022,3,15,7,294
16,2022,4,16,8,285
16,2022,5,17,14,315
16,2022,6,18,20,360
16,2022,7,19,24,380
16,2022,8,20,25,406
16,2022,9,21,12,326
16,2022,10,22,9,304
16,2022,11,23,7,274
16,2022,12,24,7,329
16,2023,1,25,4,293
16,2023,2,26,8,313
16,2023,3,27,6,281
16,2023,4,28,12,351
16,2023,5,29,11,300
16,2023,6,30,18,352
16,2023,7,31,22,345
16,2023,8,32,25,393
16,2023,9,33,14,315
16,2023,10,34,7,304
16,2023,11,35,7,279
16,2023,12,36,2,289
17,2021,1,1,7,257
17,2021,2,2,3,242
17,2021,3,3,5,272
17,2021,4,4,4,234
17,2021,5,5,12,286
17,2021,6,6,16,320
17,2021,7,7,23,344
17,2021,8,8,20,339
17,2021,9,9,13,286
17,2021,10,10,6,253
17,2021,11,11,3,240
17,2021,12,12,4,279
17,2022,1,13,1,246
17,2022,2,14,3,248
17,2022,3,15,4,232
17,2022,4,16,1,234
17,2022,5,17,8,294
17,2022,6,18,20,339
17,2022,7,19,22,358
17,2022,8,20,23,346
17,2022,9,21,11,302
17,2022,10,22,10,271
17,2022,11,23,5,276
17,2022,12,24,4,277
17,2023,1,25,3,235
17,2023,2,26,4,275
17,2023,3,27,4,244
17,2023,4,28,5,236
17,2023,5,29,11,275
17,2023,6,30,17,373
17,2023,7,31,25,360
17,2023,8,32,23,374
17,2023,9,33,18,318
17,2023,10,34,5,258
17,2023,11,35,4,246
17,2023,12,36,9,329
18,2021,1,1,0,208
18,2021,2,2,2,233
18,2021,3,3,0,199
18,2021,4,4,0,195
18,2021,5,5,11,276
18,2021,6,6,12,259
18,2021,7,7,22,336
18,2021,8,8,20,324
18,2021,9,9,11,281
18,2021,10,10,0,238
18,2021,11,11,0,202
18,2021,12,12,0,234
18,2022,1,13,0,201
18,2022,2,14,0,198
18,2022,3,15,2,201
18,2022,4,16,3,200
18,2022,5,17,13,239
18,2022,6,18,15,287
18,2022,7,19,22,336
18,2022,8,20,18,295
18,2022,9,21,10,275
18,2022,10,22,4,244
18,2022,11,23,0,229
18,2022,12,24,3,298
18,2023,1,25,0,212
18,2023,2,26,0,216
18,2023,3,27,0,227
18,2023,4,28,0,217
18,2023,5,29,12,271
18,2023,6,30,14,296
18,2023,7,31,23,347
18,2023,8,32,18,311
18,2023,9,33,9,273
18,2023,10,34,2,206
18,2023,11,35,0,195
18,2023,12,36,0,250
19,2021,1,1,0,153
19,2021,2,2,0,172
19,2021,3,3,0,183
19,2021,4,4,0,154
19,2021,5,5,3,150
19,2021,6,6,9,237
19,2021,7,7,15,253
19,2021,8,8,15,255
19,2021,9,9,8,199
19,2021,10,10,0,165
19,2021,11,11,0,169
19,2021,12,12,0,186
19,2022,1,13,0,198
19,2022,2,14,0,187
19,2022,3,15,0,144
19,2022,4,16,0,147
19,2022,5,17,4,161
19,2022,6,18,10,218
19,2022,7,19,21,289
19,2022,8,20,11,242
19,2022,9,21,6,215
19,2022,10,22,0,186
19,2022,11,23,0,174
19,2022,12,24,0,208
19,2023,1,25,0,162
19,2023,2,26,0,178
19,2023,3,27,0,185
19,2023,4,28,0,164
19,2023,5,29,1,159
19,2023,6,30,11,258
19,2023,7,31,21,303
19,2023,8,32,11,246
19,2023,9,33,0,180
19,2023,10,34,1,146
19,2023,11,35,0,161
19,2023,12,36,0,225
20,2021,1,1,2,233
20,2021,2,2,2,235
20,2021,3,3,6,244
20,2021,4,4,4,275
20,2021,5,5,10,285
20,2021,6,6,18,347
20,2021,7,7,24,364
20,2021,8,8,19,330
20,2021,9,9,11,321
20,2021,10,10,10,307
20,2021,11,11,4,231
20,2021,12,12,3,258
20,2022,1,13,2,233
20,2022,2,14,2,239
20,2022,3,15,8,267
20,2022,4,16,8,257
20,2022,5,17,8,271
20,2022,6,18,21,335
20,2022,7,19,21,350
20,2022,8,20,21,332
20,2022,9,21,10,287
20,2022,10,22,7,250
20,2022,11,23,3,250
20,2022,12,24,2,281
20,2023,1,25,1,217
20,2023,2,26,3,241
20,2023,3,27,6,284
20,2023,4,28,4,250
20,2023,5,29,10,289
20,2023,6,30,16,329
20,2023,7,31,20,308
20,2023,8,32,19,359
20,2023,9,33,11,284
20,2023,10,34,5,258
20,2023,11,35,2,242
20,2023,12,36,7,271
21,2021,1,1,0,154
21,2021,2,2,0,204
21,2021,3,3,0,188
21,2021,4,4,3,214
21,2021,5,5,3,214
21,2021,6,6,10,261
21,2021,7,7,19,294
21,2021,8,8,13,284
21,2021,9,9,8,207
21,2021,10,10,1,207
21,2021,11,11,0,167
21,2021,12,12,0,243
21,2022,1,13,0,193
21,2022,2,14,0,176
21,2022,3,15,0,173
21,2022,4,16,6,183
21,2022,5,17,5,202
21,2022,6,18,11,246
21,2022,7,19,16,261
21,2022,8,20,13,295
21,2022,9,21,5,220
21,2022,10,22,3,194
21,2022,11,23,0,191
21,2022,12,24,0,221
21,2023,1,25,0,189
21,2023,2,26,0,180
21,2023,3,27,0,249
21,2023,4,28,2,207
21,2023,5,29,7,217
21,2023,6,30,11,243
21,2023,7,31,19,263
21,2023,8,32,14,272
21,2023,9,33,7,220
21,2023,10,34,2,214
21,2023,11,35,0,178
21,2023,12,36,0,211
22,2021,1,1,0,188
22,2021,2,2,0,203
22,2021,3,3,3,220
22,2021,4,4,1,183
22,2021,5,5,6,210
22,2021,6,6,15,276
22,2021,7,7,17,270
22,2021,8,8,14,291
22,2021,9,9,10,235
22,2021,10,10,0,220
22,2021,11,11,0,187
22,2021,12,12,0,232
22,2022,1,13,0,192
22,2022,2,14,1,209
22,2022,3,15,0,160
22,2022,4,16,1,195
22,2022,5,17,6,222
22,2022,6,18,13,237
22,2022,7,19,17,295
22,2022,8,20,18,300
22,2022,9,21,6,230
22,2022,10,22,0,189
22,2022,11,23,0,192
22,2022,12,24,0,237
22,2023,1,25,0,197
22,2023,2,26,0,211
22,2023,3,27,0,190
22,2023,4,28,1,218
22,2023,5,29,7,239
22,2023,6,30,14,293
22,2023,7,31,15,272
22,2023,8,32,16,284
22,2023,9,33,8,244
22,2023,10,34,0,180
22,2023,11,35,0,193
22,2023,12,36,0,202
23,2021,1,1,0,125
23,2021,2,2,0,167
23,2021,3,3,0,141
23,2021,4,4,0,163
23,2021,5,5,4,205
23,2021,6,6,8,190
23,2021,7,7,14,208
23,2021,8,8,17,244
23,2021,9,9,6,195
23,2021,10,10,0,158
23,2021,11,11,0,123
23,2021,12,12,0,171
23,2022,1,13,0,180
23,2022,2,14,0,143
23,2022,3,15,0,125
23,2022,4,16,0,132
23,2022,5,17,4,170
23,2022,6,18,9,207
23,2022,7,19,13,222
23,2022,8,20,13,214
23,2022,9,21,8,204
23,2022,10,22,1,156
23,2022,11,23,0,155
23,2022,12,24,0,182
23,2023,1,25,0,137
23,2023,2,26,0,152
23,2023,3,27,0,139
23,2023,4,28,0,126
23,2023,5,29,3,155
23,2023,6,30,12,215
23,2023,7,31,18,233
23,2023,8,32,12,228
23,2023,9,33,7,196
23,2023,10,34,0,152
23,2023,11,35,0,129
23,2023,12,36,0,157
24,2021,1,1,4,273
24,2021,2,2,7,300
24,2021,3,3,3,295
24,2021,4,4,11,312
24,2021,5,5,16,352
24,2021,6,6,21,362
24,2021,7,7,25,433
24,2021,8,8,18,365
24,2021,9,9,11,310
24,2021,10,10,9,292
24,2021,11,11,7,264
24,2021,12,12,2,304
24,2022,1,13,5,293
24,2022,2,14,8,351
24,2022,3,15,3,274
24,2022,4,16,8,273
24,2022,5,17,13,317
24,2022,6,18,18,354
24,2022,7,19,28,414
24,2022,8,20,23,372
24,2022,9,21,15,358
24,2022,10,22,4,267
24,2022,11,23,3,286
24,2022,12,24,4,296
24,2023,1,25,2,316
24,2023,2,26,2,304
24,2023,3,27,8,311
24,2023,4,28,7,309
24,2023,5,29,13,321
24,2023,6,30,20,364
24,2023,7,31,25,416
24,2023,8,32,21,383
24,2023,9,33,11,314
24,2023,10,34,10,306
24,2023,11,35,1,226
24,2023,12,36,7,324
25,2021,1,1,3,188
25,2021,2,2,1,196
25,2021,3,3,0,170
25,2021,4,4,2,243
25,2021,5,5,4,211
25,2021,6,6,15,292
25,2021,7,7,20,285
25,2021,8,8,18,315
25,2021,9,9,12,263
25,2021,10,10,4,218
25,2021,11,11,0,199
25,2021,12,12,2,253
25,2022,1,13,0,224
25,2022,2,14,0,236
25,2022,3,15,3,196
25,2022,4,16,1,180
25,2022,5,17,8,253
25,2022,6,18,15,266
25,2022,7,19,19,317
25,2022,8,20,16,310
25,2022,9,21,13,251
25,2022,10,22,3,183
25,2022,11,23,2,198
25,2022,12,24,1,245
25,2023,1,25,1,203
25,2023,2,26,0,240
25,2023,3,27,1,206
25,2023,4,28,3,204
25,2023,5,29,8,206
25,2023,6,30,17,285
25,2023,7,31,17,282
25,2023,8,32,20,316
25,2023,9,33,11,245
25,2023,10,34,3,232
25,2023,11,35,3,224
25,2023,12,36,0,250
26,2021,1,1,4,300
26,2021,2,2,11,324
26,2021,3,3,8,294
26,2021,4,4,12,347
26,2021,5,5,14,343
26,2021,6,6,23,400
26,2021,7,7,25,418
26,2021,8,8,27,421
26,2021,9,9,19,400
26,2021,10,10,10,334
26,2021,11,11,9,300
26,2021,12,12,8,333
26,2022,1,13,9,334
26,2022,2,14,7,319
26,2022,3,15,12,299
26,2022,4,16,11,323
26,2022,5,17,15,344
26,2022,6,18,21,354
26,2022,7,19,25,443
26,2022,8,20,26,429
26,2022,9,21,19,368
26,2022,10,22,11,342
26,2022,11,23,8,311
26,2022,12,24,10,369
26,2023,1,25,8,332
26,2023,2,26,6,308
26,2023,3,27,10,331
26,2023,4,28,12,350
26,2023,5,29,16,364
26,2023,6,30,21,406
26,2023,7,31,25,387
26,2023,8,32,26,444
26,2023,9,33,18,376
26,2023,10,34,10,327
26,2023,11,35,10,316
26,2023,12,36,10,343
27,2021,1,1,0,285
27,2021,2,2,2,295
27,2021,3,3,4,290
27,2021,4,4,13,356
27,2021,5,5,10,308
27,2021,6,6,22,391
27,2021,7,7,22,393
27,2021,8,8,21,404
27,2021,9,9,15,363
27,2021,10,10,3,295
27,2021,11,11,3,296
27,2021,12,12,3,314
27,2022,1,13,1,287
27,2022,2,14,4,300
27,2022,3,15,6,279
27,2022,4,16,6,311
27,2022,5,17,12,312
27,2022,6,18,20,375
27,2022,7,19,21,399
27,2022,8,20,21,371
27,2022,9,21,14,374
27,2022,10,22,7,320
27,2022,11,23,4,300
27,2022,12,24,1,309
27,2023,1,25,6,317
27,2023,2,26,6,303
27,2023,3,27,2,300
27,2023,4,28,8,290
27,2023,5,29,12,316
27,2023,6,30,19,382
27,2023,7,31,24,388
27,2023,8,32,18,383
27,2023,9,33,13,328
27,2023,10,34,5,282
27,2023,11,35,5,282
27,2023,12,36,2,295
28,2021,1,1,0,213
28,2021,2,2,0,198
28,2021,3,3,0,191
28,2021,4,4,3,226
28,2021,5,5,9,230
28,2021,6,6,16,308
28,2021,7,7,23,338
28,2021,8,8,19,298
28,2021,9,9,11,278
28,2021,10,10,3,211
28,2021,11,11,1,183
28,2021,12,12,2,240
28,2022,1,13,2,182
28,2022,2,14,1,206
28,2022,3,15,0,187
28,2022,4,16,5,197
28,2022,5,17,9,258
28,2022,6,18,18,329
28,2022,7,19,20,309
28,2022,8,20,19,294
28,2022,9,21,13,268
28,2022,10,22,5,211
28,2022,11,23,0,208
28,2022,12,24,0,247
28,2023,1,25,1,194
28,2023,2,26,2,199
28,2023,3,27,2,224
28,2023,4,28,2,186
28,2023,5,29,6,244
28,2023,6,30,21,314
28,2023,7,31,22,309
28,2023,8,32,20,321
28,2023,9,33,10,265
28,2023,10,34,3,211
28,2023,11,35,1,200
28,2023,12,36,0,254
29,2021,1,1,8,263
29,2021,2,2,8,256
29,2021,3,3,5,219
29,2021,4,4,12,285
29,2021,5,5,12,298
29,2021,6,6,21,332
29,2021,7,7,24,353
29,2021,8,8,27,376
29,2021,9,9,18,294
29,2021,10,10,11,283
29,2021,11,11,6,245
29,2021,12,12,10,328
29,2022,1,13,6,260
29,2022,2,14,5,273
29,2022,3,15,7,251
29,2022,4,16,8,255
29,2022,5,17,12,253
29,2022,6,18,21,334
29,2022,7,19,23,369
29,2022,8,20,23,359
29,2022,9,21,14,292
29,2022,10,22,10,291
29,2022,11,23,5,257
29,2022,12,24,3,262
29,2023,1,25,2,224
29,2023,2,26,8,256
29,2023,3,27,8,250
29,2023,4,28,13,279
29,2023,5,29,17,324
29,2023,6,30,16,323
29,2023,7,31,26,375
29,2023,8,32,23,370
29,2023,9,33,18,300
29,2023,10,34,9,261
29,2023,11,35,7,270
29,2023,12,36,5,298
30,2021,1,1,9,310
30,2021,2,2,4,298
30,2021,3,3,9,312
30,2021,4,4,7,304
30,2021,5,5,15,328
30,2021,6,6,21,405
30,2021,7,7,26,401
30,2021,8,8,24,418
30,2021,9,9,17,353
30,2021,10,10,10,304
30,2021,11,11,8,308
30,2021,12,12,7,343
30,2022,1,13,8,315
30,2022,2,14,4,286
30,2022,3,15,6,289
30,2022,4,16,11,302
30,2022,5,17,14,332
30,2022,6,18,18,371
30,2022,7,19,27,452
30,2022,8,20,22,393
30,2022,9,21,18,346
30,2022,10,22,9,344
30,2022,11,23,6,282
30,2022,12,24,8,349
30,2023,1,25,7,306
30,2023,2,26,7,316
